,title,company,salary,location,hiringStatus,postedDate
0,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
1,Sr. Software Engineer,Data Transformation Corporation,$125K,"Turnersville, NJ",Actively Hiring,2023-01-25
2,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
3,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
4,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
5,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
6,Senior Software Development Engineer,The Morey Corporation,$96K - $129K,"Woodridge, IL",Actively Hiring,2023-01-09
7,Embedded Software Engineer,RDM Industrial Electronics,$40.00 - $50.66 Per Hour(Employer est.),"Nebo, NC",Actively Hiring,2023-01-09
8,Embedded Software Engineer,First Consulting Inc.,$120K,"Rochester, NY",Actively Hiring,2023-01-09
9,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$47K - $68K,"Bremen, IN",Actively Hiring,2023-01-16
10,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $100K,"Dublin, OH",Actively Hiring,2023-01-20
11,Senior Software Engineer,ST Engineering iDirect,$110K - $143K,"Herndon, VA",Actively Hiring,2023-01-09
12,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$63K - $97K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
13,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$80K - $180K,"Syracuse, NY",Actively Hiring,2023-01-09
14,Sr. Embedded Software Engineer,Kitchen Brains,$100K,"Stratford, CT",Actively Hiring,2023-01-09
15,Software Engineer III,Paychex,$80K - $120K,"Rochester, NY",Actively Hiring,2023-01-09
16,Senior Software Engineer (ACIST),CRL Technologies,$87K - $123K,"Lexington Park, MD",Actively Hiring,2023-01-09
17,Mid-Level Software Engineer,"Usio, Inc.",$66K - $95K,"San Antonio, TX",Actively Hiring,2023-01-09
18,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$66K - $97K,"Mason, OH",Actively Hiring,2023-01-26
19,Software Developer - Product,McLeod Software,$95K - $110K,"Birmingham, AL",Actively Hiring,2023-01-09
20,SENIOR SOFTWARE ENGINEER,Pressco Technology,$80K - $120K,"Solon, OH",Actively Hiring,2023-01-09
21,Sr. Software Engineer,"Candid Color Systems, Inc.",$102K - $140K,"Oklahoma City, OK",Actively Hiring,2023-01-31
22,Sr. Genesys Engage Engineer,"Placed, LLC",$65K - $89K,"Denver, CO",Actively Hiring,2023-01-09
23,Software Engineer,CHG Healthcare,$70K - $90K,"Salt Lake City, UT",Actively Hiring,2023-01-23
24,Embedded Engineer -Embedded Hardware,Doosan Bobcat,$90K - $100K,"West Fargo, ND",Actively Hiring,2023-01-09
25,Software Engineer,Joseph Machine Company Inc.,$93K - $134K,"Dillsburg, PA",Actively Hiring,2023-01-09
26,Cloud Software Engineer,The Fikes Companies,$100K - $126K,"Temple, TX",Actively Hiring,2023-01-09
27,Linux Modern C++ Software Engineer,Geisel Software,$84K - $120K,"Worcester, MA",Actively Hiring,2023-01-09
28,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
29,Sr. Software Engineer,Data Transformation Corporation,$125K,"Turnersville, NJ",Actively Hiring,2023-01-25
30,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
31,Software Development Manager,TherapyNotes.com,$145K - $175K,"Horsham, PA",Actively Hiring,2023-01-25
32,Application Software Engineer,Hamamatsu Corporation,$83K - $122K,"Bridgewater, NJ",Actively Hiring,2023-01-09
