,title,company,salary,location,hiringStatus,postedDate
0,Senior Software Developer,Empower AI Inc.,$89K - $126K/yr,"Washington, DC",Actively Hiring,2023-01-08
1,Sr Java Developer,Options Clearing Corporation,$89K - $124K/yr,"Chicago, IL",Actively Hiring,2023-01-08
2,Automation Software Developer,"Engineering Specialists, Inc.",$60K - $85K/yr,"Milwaukee, WI",Actively Hiring,2023-01-08
3,Web Developer,Select Star Associates Inc,$60K - $90K/yr,"Lutherville Timonium, MD",Actively Hiring,2023-02-02
4,Sr. .Net Developer,The Reserves Network Inc,$74K - $107K/yr,"Omaha, NE",Actively Hiring,2023-01-24
5,Developer III (Universe),Mouser Electronics,$49K - $75K/yr,"Mansfield, TX",Actively Hiring,2023-01-08
6,Software Development Manager,TherapyNotes.com,$99K - $143K/yr,"Horsham, PA",Actively Hiring,2023-01-25
7,Senior Software Engineer,ST Engineering iDirect,$110K - $143K/yr,"Herndon, VA",Actively Hiring,2023-01-08
8,Software Engineer III (Mobile Emphasis),Lighthouse Worldwide Solutions,$83K - $123K/yr,"White City, OR",Actively Hiring,2023-01-08
9,Ruby On Rails Developer.,Power Home Remodeling,$68K - $105K/yr,"Pottstown, PA",Actively Hiring,2023-02-06
10,Expert Software Developer - TS Clearance Required,Eighty20 Collective,$70K - $102K/yr,"Springfield, VA",Actively Hiring,2023-01-19
11,Application /Report Developer,Laclede Chain Manufacturing,$86K - $119K/yr,"Vicksburg, MS",Actively Hiring,2023-01-12
12,Sr Software Developer,Crown Equipment Corporation,$68K - $96K/yr,"Troy, OH",Actively Hiring,2023-02-03
13,Embedded Software Developer,Idaho Scientific,$70K - $97K/yr,"Boise, ID",Actively Hiring,2023-01-31
14,Senior Staff Software Engineer,The Hartford,$80K - $150K/yr,"Charlotte, NC",Actively Hiring,2023-02-03
15,Firmware Developer,Idaho Scientific,$75K - $112K/yr,"Boise, ID",Actively Hiring,2023-01-11
16,Linux Kernel Driver Developer,Idaho Scientific,$51K - $81K/yr,"Boise, ID",Actively Hiring,2023-01-31
17,Software Engineer Sr,Vectrus,$66K - $91K/yr,"King George, VA",Actively Hiring,2023-01-08
18,Work Instruction Developer and Configuration Specialist,GapVax Inc.,$96K - $129K/yr,"Johnstown, PA",Actively Hiring,2023-01-08
19,Application Developer,Vantage West Credit Union,$90K/yr,"Tucson, AZ",Actively Hiring,2023-01-12
20,Manufacturing Automation Engineer,Cemen Tech,$40K - $132K/yr,"Indianola, IA",Actively Hiring,2023-01-13
21,Senior Software Development Engineer,The Morey Corporation,$69K - $99K/yr,"Woodridge, IL",Actively Hiring,2023-01-08
22,Software Developer (Senior Mobile/Web/Desktop/Full-Stack),Vesigo Studios,$65K - $110K/yr,"Medford, OR",Actively Hiring,2023-02-07
23,"PHP Web Developer (Not WFH, Local candidates only)",ActiveLAMP,$66K - $98K/yr,"Rupert, ID",Actively Hiring,2023-02-01
24,React Developer,T. Rowe Price,$76K - $105K/yr,"Owings Mills, MD",Actively Hiring,2023-01-08
